N,Duration for 10000 searches with Level 0 search (ms),Duration for 10000 searches with Multilevel search (ms)
7,2.173000,3.569000
8,3.745000,5.247000
9,6.749000,12.429000
10,11.747000,16.306000
11,23.053000,31.585000
12,55.018000,78.906000
13,101.065000,183.591000
14,198.611000,388.592000
15,393.277000,822.266000
16,846.275000,1900.614000
